PatType,TheDateTime,Arrivals,Exits,Occupancy,DayType,TheWeekDay,TheTime,TheDate,UsedIt,deltaArr,deltaExit,deltaOcc
ART,35077.45833,0,0,0,Weekend,7,0.458333333,35077,-1,0,0,0
ART,35077.5,0,0,0,Weekend,7,0.5,35077,-1,0,0,0
ART,35077.54167,0,0,0,Weekend,7,0.541666667,35077,-1,0,0,0
ART,35077.58333,0,0,0,Weekend,7,0.583333333,35077,-1,0,0,0
ART,35077.625,0,0,0,Weekend,7,0.625,35077,-1,0,0,0
ART,35077.66667,0,0,0,Weekend,7,0.666666667,35077,-1,0,0,0
ART,35077.70833,0,0,0,Weekend,7,0.708333333,35077,-1,0,0,0
ART,35077.75,0,0,0,Weekend,7,0.75,35077,-1,0,0,0
ART,35077.79167,0,0,0,Weekend,7,0.791666667,35077,-1,0,0,0
ART,35077.83333,0,0,0,Weekend,7,0.833333333,35077,-1,0,0,0
ART,35077.875,0,0,0,Weekend,7,0.875,35077,-1,0,0,0
ART,35077.91667,0,0,0,Weekend,7,0.916666667,35077,-1,0,0,0
ART,35077.95833,0,0,0,Weekend,7,0.958333333,35077,-1,0,0,0
ART,35078,0,0,0,Weekend,1,0,35078,-1,0,0,0
ART,35078.04167,0,0,0,Weekend,1,0.041666667,35078,-1,0,0,0
ART,35078.08333,0,0,0,Weekend,1,0.083333333,35078,-1,0,0,0
ART,35078.125,0,0,0,Weekend,1,0.125,35078,-1,0,0,0
ART,35078.16667,0,0,0,Weekend,1,0.166666667,35078,-1,0,0,0
ART,35078.20833,0,0,0,Weekend,1,0.208333333,35078,-1,0,0,0
ART,35078.25,0,0,0,Weekend,1,0.25,35078,-1,0,0,0
ART,35078.29167,0,0,0,Weekend,1,0.291666667,35078,-1,0,0,0
ART,35078.33333,0,0,0,Weekend,1,0.333333333,35078,-1,0,0,0
ART,35078.375,0,0,0,Weekend,1,0.375,35078,-1,0,0,0
ART,35078.41667,0,0,0,Weekend,1,0.416666667,35078,-1,0,0,0
ART,35078.45833,0,0,0,Weekend,1,0.458333333,35078,-1,0,0,0
ART,35078.5,0,0,0,Weekend,1,0.5,35078,-1,0,0,0
ART,35078.54167,0,0,0,Weekend,1,0.541666667,35078,-1,0,0,0
ART,35078.58333,0,0,0,Weekend,1,0.583333333,35078,-1,0,0,0
ART,35078.625,0,0,0,Weekend,1,0.625,35078,-1,0,0,0
ART,35078.66667,0,0,0,Weekend,1,0.666666667,35078,-1,0,0,0
